"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","RT @Jere_Riquelme10: Quedate con quien te mire como Messi a Pavon <f0><U+009F><U+0098><U+0084> https://t.co/9iLcxijo3s",FALSE,0,NA,2018-06-17 06:04:51,FALSE,NA,"1008228965310398465",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Facu_comelli98",16,TRUE,FALSE,NA,NA,"Córdoba, Argentina","es","http://pbs.twimg.com/profile_images/985001646383091712/5xCv1lEy_normal.jpg"
"2","RT @TeamCRonaldo: Iceland Captain Aron Gunnarsson before the match:
“They have individual brilliance, we have a team. Messi? He doesn’t sca…",FALSE,0,NA,2018-06-17 06:04:51,FALSE,NA,"1008228964379357184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vrrsh30",966,TRUE,FALSE,NA,NA,"Nigeria","en","http://pbs.twimg.com/profile_images/1003696237105774592/oRu-WzCj_normal.jpg"
"3","RT @t_riumphant: The internet is a bad place <f0><U+009F><U+0098><U+00AB><f0><U+009F><U+0098><U+00AB><f0><U+009F><U+0098><U+00AB>
See what they did to Messi https://t.co/rhVN31MGbv",FALSE,0,NA,2018-06-17 06:04:51,FALSE,NA,"1008228964169670656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iamodu73",641,TRUE,FALSE,NA,NA,"Lagos city","en","http://pbs.twimg.com/profile_images/947857452929900544/mkRVlp5y_normal.jpg"
"4","*Argentina gets the Penalty*

Messi running to shoot the ball.

Inner Messi:<f0><U+009F><U+0091><U+0087> https://t.co/vc3O11vwjA",FALSE,0,NA,2018-06-17 06:04:51,FALSE,NA,"1008228964073136128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GoStudyOwais",0,FALSE,FALSE,NA,NA,"Karachi, Pakistan","en","http://pbs.twimg.com/profile_images/1003226688174600192/g6e3V-eb_normal.jpg"
"5","RT @tatadecanela: MESSI SI NO TRAES LA COPA, TRAE A LOS PIBES #LYTOURXARGENTINA @BTS_twt",FALSE,0,NA,2018-06-17 06:04:51,FALSE,NA,"1008228963200749569",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MorenaLovee",271,TRUE,FALSE,NA,NA,"Ciudad Evita,Buenos Aires","es","http://pbs.twimg.com/profile_images/1007150051041390592/GA0E2yma_normal.jpg"
"6","RT @plesbol_: Prestasi di World Cup 2018 saat ini:

-Real Madrid:
Nacho 1x
Ronaldo 3x
Luka Modric 1x

-Atletico Madrid:
J Gimenez 1x
Diego…",FALSE,0,NA,2018-06-17 06:04:51,FALSE,NA,"1008228962508525569",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sondy_19",327,TRUE,FALSE,NA,NA,"jakarta","en","http://pbs.twimg.com/profile_images/813981281964806144/ZLsW3d_-_normal.jpg"
"7","RT @kikokardash: Do you love messi? @fundacionmessi Gooo Argentina! <f0><U+009F><U+0087><U+00A6><f0><U+009F><U+0087><U+00B7> https://t.co/MiCLOObOk5",FALSE,0,NA,2018-06-17 06:04:51,FALSE,NA,"1008228962294587392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ellalala04",2,TRUE,FALSE,NA,NA,"New York, NY","en","http://pbs.twimg.com/profile_images/1001441793982976000/VhXqhKMw_normal.jpg"
"8","RT @t_riumphant: The internet is a bad place <f0><U+009F><U+0098><U+00AB><f0><U+009F><U+0098><U+00AB><f0><U+009F><U+0098><U+00AB>
See what they did to Messi https://t.co/rhVN31MGbv",FALSE,0,NA,2018-06-17 06:04:51,FALSE,NA,"1008228961279795200",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Lebz_Mailula",641,TRUE,FALSE,NA,NA,"Pretoria, South africa","en-gb","http://pbs.twimg.com/profile_images/1007103557315825664/Izem-5p5_normal.jpg"
"9","RT @zakariasllh: Hahahaha ada messi pun tak menang <f0><U+009F><U+0098><U+0082> kemain berita tv3 skrg https://t.co/GTmFeeLzz3",FALSE,0,NA,2018-06-17 06:04:50,FALSE,NA,"1008228958804955137",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shamimfazri",3,TRUE,FALSE,NA,NA,"Selangor","en","http://pbs.twimg.com/profile_images/700769250558935040/fNk-UoWo_normal.jpg"
"10","RT @_Cumbs: Rt If You Think Messi Will Only Win The World Cup On PlayStation https://t.co/XRchRxqucf",FALSE,0,NA,2018-06-17 06:04:50,FALSE,NA,"1008228958599565312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Thularz_",1,TRUE,FALSE,NA,NA,"Pretoria SOUTH AFRICA","en","http://pbs.twimg.com/profile_images/1006934522074746880/mIFUzaeo_normal.jpg"
